name,hq,region,website,is_boutique
Atlantic-Pacific Capital,New York,United States,,false
Eaton Partners (Stifel),Rowayton CT,United States,,false
Asante Capital Group,London,Europe,,false
Probitas Partners,San Francisco,United States,,false
Houlihan Lokey Private Funds Group / Triago,Los Angeles,United States,,false
Snowbridge Advisors,New York,United States,,true
Monument Group,Boston,United States,,false
Capstone Partners (Mizuho),Dallas,United States,,false
Pacenote Capital,Austin TX,United States,,true
Harris Williams Private Capital Advisory (ex-Sixpoint),New York,United States,,false
UBS Private Funds Group,New York,United States,,false
Lazard Private Capital Advisory,New York,United States,,false
William Blair,Chicago,United States,,false
Metric Point Capital,New York,United States,,true
Harken Capital Securities,New York,United States,,true
Strathmore Group,New York,United States,,true
Evercore Private Funds Group,New York,United States,,false
PJT Park Hill,New York,United States,,false
TritonLake,New York,United States,,true
FirstPoint Equity,London,Europe,,true
WHR Capital,United States,United States,,true
TopCap Partners,Munich,Europe,,true
M2O Private Fund Advisors,Boston,United States,,true
Connaught Fund Management,London,Europe,,true
FocusPoint Private Capital,New York,United States,,true
Acanthus Advisers,London,Europe,,true
Brooklands Capital Strategies,San Francisco,United States,,true
Cohen Brothers,London,Europe,,true
Candela Capital,London,Europe,,true
Briarcliffe Credit Partners,New York,United States,,true
IRoise Partners,Paris,Europe,,true
Platypus Partners,London,Europe,,true
Fern Creek Ventures,Mill Valley CA,United States,,true
Papamarkou Wellner,New York,United States,,true
Trinity Group,London,Europe,,true
MCAM Group,London,Europe,,true
